Provinsi,Tahun,APS,PPM,RLS,IPM,TKF,PLKI,TPAK,UMP,TPT,TPT Actual,TPT NBC,TPT SVM
PAPUA BARAT,2021,98.08,21.84,10.03,66.11,42.08,57.92,70.34,3134600.0,5.84,Tinggi,Rendah,Tinggi
PAPUA,2021,83.43,26.86,7.05,61.4,19.53,80.47,78.29,3516700.0,3.33,Rendah,Rendah,Rendah
ACEH,2022,99.44,14.64,9.79,74.11,38.55,61.45,63.5,3166460.0,6.17,Tinggi,Tinggi,Tinggi
SUMATERA UTARA,2022,99.5,8.42,9.99,74.51,40.93,59.07,69.53,2522609.94,6.16,Tinggi,Tinggi,Rendah
SUMATERA BARAT,2022,99.55,5.92,9.51,75.16,34.74,65.26,69.3,2512539.0,6.28,Tinggi,Tinggi,Rendah
RIAU,2022,99.61,6.78,9.54,74.45,45.98,54.02,63.86,2938564.01,4.37,Rendah,Tinggi,Tinggi
JAMBI,2022,99.33,7.62,9.07,73.11,40.02,59.98,67.84,2698940.87,4.59,Rendah,Tinggi,Rendah
SUMATERA SELATAN,2022,99.38,11.9,8.82,72.48,36.72,63.28,69.31,3144446.0,4.63,Rendah,Tinggi,Rendah
BENGKULU,2022,99.49,14.62,9.28,73.68,32.46,67.54,69.81,2238094.31,3.59,Rendah,Tinggi,Rendah
LAMPUNG,2022,99.56,11.57,8.61,71.79,28.49,71.51,70.06,2440486.18,4.52,Rendah,Rendah,Rendah
KEP. BANGKA BELITUNG,2022,99.41,4.45,8.57,73.5,50.37,49.63,67.38,3264884.0,4.77,Rendah,Tinggi,Tinggi
KEP. RIAU,2022,99.28,6.24,10.46,78.48,63.68,36.32,68.94,3050172.0,8.23,Tinggi,Tinggi,Tinggi
DKI JAKARTA,2022,99.44,4.69,11.3,82.77,63.12,36.88,63.08,4641854.0,7.18,Tinggi,Tinggi,Tinggi
JAWA BARAT,2022,99.39,8.06,9.14,73.63,45.39,54.61,66.15,1841487.31,8.31,Tinggi,Tinggi,Tinggi
JAWA TENGAH,2022,99.58,10.93,8.38,72.8,39.84,60.16,70.84,1812935.43,5.57,Tinggi,Tinggi,Rendah
DI YOGYAKARTA,2022,99.59,11.34,10.07,80.65,46.62,53.38,72.6,1840915.53,4.06,Rendah,Tinggi,Rendah
JAWA TIMUR,2022,99.14,10.38,8.5,74.05,36.14,63.86,71.23,1891567.12,5.49,Tinggi,Tinggi,Rendah
BANTEN,2022,99.33,6.16,9.46,75.25,52.04,47.96,64.72,2501203.11,8.09,Tinggi,Tinggi,Tinggi
BALI,2022,99.55,4.57,9.74,77.4,46.57,53.43,76.86,2516971.0,4.8,Rendah,Tinggi,Rendah
NUSA TENGGARA BARAT,2022,99.17,13.68,8.31,71.65,24.64,75.36,70.93,2207212.0,2.89,Rendah,Rendah,Rendah
NUSA TENGGARA TIMUR,2022,98.59,20.05,8.25,67.63,24.76,75.24,75.23,1975000.0,3.54,Rendah,Rendah,Rendah
KALIMANTAN BARAT,2022,98.73,6.73,8.1,69.71,41.23,58.77,68.97,2434328.19,5.11,Tinggi,Rendah,Rendah
KALIMANTAN TENGAH,2022,99.2,5.28,9.03,73.17,48.5,51.5,67.23,2922516.09,4.26,Rendah,Tinggi,Tinggi
KALIMANTAN SELATAN,2022,99.43,4.49,8.89,74.0,42.7,57.3,67.55,2906473.32,4.74,Rendah,Tinggi,Rendah
KALIMANTAN TIMUR,2022,99.57,6.31,10.13,77.36,55.74,44.26,64.73,3014497.22,5.71,Tinggi,Tinggi,Tinggi
KALIMANTAN UTARA,2022,98.98,6.77,9.45,72.21,51.0,49.0,67.62,3016738.0,4.33,Rendah,Tinggi,Tinggi
SULAWESI UTARA,2022,99.34,7.28,9.87,74.52,40.85,59.15,63.08,3310723.0,6.61,Tinggi,Tinggi,Tinggi
SULAWESI TENGAH,2022,98.22,12.33,9.17,71.01,32.13,67.87,69.99,2390739.0,3.0,Rendah,Rendah,Rendah
SULAWESI SELATAN,2022,99.43,8.63,9.09,73.96,36.45,63.55,66.18,3165876.0,4.51,Rendah,Tinggi,Rendah
SULAWESI TENGGARA,2022,99.05,11.17,9.59,72.38,37.61,62.39,68.82,2576016.96,3.36,Rendah,Tinggi,Rendah
GORONTALO,2022,98.93,15.42,8.39,70.62,35.03,64.97,68.91,2800580.0,2.58,Rendah,Rendah,Rendah
SULAWESI BARAT,2022,98.4,11.75,8.47,69.19,22.75,77.25,73.0,2678863.1,2.34,Rendah,Rendah,Rendah
MALUKU,2022,99.55,15.97,10.37,72.04,36.7,63.3,65.46,269312.83,6.88,Tinggi,Tinggi,Tinggi
MALUKU UTARA,2022,99.13,6.23,9.6,70.26,34.37,65.63,64.88,2862231.0,3.98,Rendah,Tinggi,Rendah
PAPUA BARAT,2022,98.27,21.33,10.14,66.72,39.72,60.28,68.55,3200000.0,5.37,Tinggi,Rendah,Tinggi
PAPUA,2022,84.35,26.56,7.31,62.16,15.89,84.11,77.75,3561932.0,2.83,Rendah,Rendah,Rendah
ACEH,2023,99.43,14.45,9.89,74.7,38.84,59.86,64.77,3413666.0,6.03,Tinggi,Tinggi,Tinggi
SUMATERA UTARA,2023,99.51,8.15,10.07,75.13,38.84,58.52,71.06,2710493.0,5.89,Tinggi,Tinggi,Rendah
SUMATERA BARAT,2023,99.76,5.95,9.59,75.64,38.84,64.19,69.61,2742476.0,5.94,Tinggi,Tinggi,Rendah
RIAU,2023,99.65,6.68,9.6,74.95,38.84,52.13,64.45,3191662.0,4.23,Rendah,Tinggi,Tinggi
JAMBI,2023,99.49,7.58,9.16,73.73,38.84,59.73,68.75,2943000.0,4.53,Rendah,Tinggi,Rendah
SUMATERA SELATAN,2023,99.41,11.78,8.9,73.18,38.84,62.97,70.72,3404177.0,4.11,Rendah,Tinggi,Rendah
BENGKULU,2023,99.42,14.04,9.35,74.3,38.84,67.77,70.91,2400000.0,3.42,Rendah,Tinggi,Rendah
LAMPUNG,2023,99.61,11.11,8.72,72.48,38.84,70.67,70.04,2633284.0,4.23,Rendah,Rendah,Rendah
KEP. BANGKA BELITUNG,2023,99.51,4.52,8.66,74.09,38.84,51.07,68.34,3498479.0,4.56,Rendah,Tinggi,Rendah
KEP. RIAU,2023,99.29,5.69,10.52,79.08,38.84,33.67,68.68,3279194.0,6.8,Tinggi,Tinggi,Tinggi
DKI JAKARTA,2023,99.49,4.44,11.42,83.55,38.84,36.23,65.21,4901798.0,6.53,Tinggi,Tinggi,Tinggi
JAWA BARAT,2023,99.4,7.62,9.16,74.24,38.84,55.15,66.49,1986670.0,7.44,Tinggi,Tinggi,Tinggi
JAWA TENGAH,2023,99.57,10.77,8.44,73.39,38.84,60.39,71.72,1958169.0,5.13,Tinggi,Tinggi,Rendah
DI YOGYAKARTA,2023,99.63,11.04,10.16,81.09,38.84,53.78,74.08,1981782.0,3.69,Rendah,Tinggi,Rendah
JAWA TIMUR,2023,99.28,10.35,8.53,74.65,38.84,63.11,72.56,2040244.0,4.88,Rendah,Tinggi,Rendah
BANTEN,2023,99.43,6.17,9.48,75.77,38.84,46.31,64.44,2661280.0,7.52,Tinggi,Tinggi,Tinggi
BALI,2023,99.61,4.25,9.74,78.01,38.84,52.35,77.08,2713672.0,2.69,Rendah,Rendah,Rendah
NUSA TENGGARA BARAT,2023,99.46,13.85,8.39,72.37,38.84,72.3,73.31,2371407.0,2.8,Rendah,Rendah,Rendah
NUSA TENGGARA TIMUR,2023,98.62,19.96,8.31,68.4,38.84,74.51,75.72,2123994.0,3.14,Rendah,Rendah,Rendah
KALIMANTAN BARAT,2023,98.81,6.71,8.17,70.47,38.84,59.69,69.42,2608601.0,5.05,Tinggi,Rendah,Rendah
KALIMANTAN TENGAH,2023,99.13,5.11,9.07,73.73,38.84,51.86,67.18,3181013.0,4.1,Rendah,Tinggi,Rendah
KALIMANTAN SELATAN,2023,99.3,4.29,8.95,74.66,38.84,55.25,69.76,3149977.0,4.31,Rendah,Tinggi,Rendah
KALIMANTAN TIMUR,2023,99.64,6.11,10.17,78.2,38.84,44.67,65.57,3201396.0,5.31,Tinggi,Tinggi,Tinggi
KALIMANTAN UTARA,2023,99.22,6.45,9.53,72.88,38.84,51.38,70.35,3251702.0,4.01,Rendah,Tinggi,Rendah
SULAWESI UTARA,2023,99.34,7.38,9.94,75.04,38.84,58.14,64.09,3485000.0,6.1,Tinggi,Tinggi,Tinggi
SULAWESI TENGAH,2023,98.34,12.41,9.22,71.66,38.84,66.1,69.85,2599546.0,2.95,Rendah,Rendah,Rendah
SULAWESI SELATAN,2023,99.49,8.7,9.12,74.6,38.84,62.77,65.66,3385145.0,4.33,Rendah,Tinggi,Rendah
SULAWESI TENGGARA,2023,99.2,11.43,9.62,72.94,38.84,61.84,70.07,2758948.0,3.15,Rendah,Tinggi,Rendah
GORONTALO,2023,98.69,15.15,8.48,71.25,38.84,63.73,70.79,2989350.0,3.06,Rendah,Rendah,Rendah
SULAWESI BARAT,2023,98.31,11.49,8.48,69.8,38.84,73.35,71.05,2871794.0,2.27,Rendah,Rendah,Rendah
MALUKU,2023,99.59,16.42,10.38,72.75,38.84,65.42,63.6,2812827.0,6.31,Tinggi,Tinggi,Tinggi
MALUKU UTARA,2023,99.12,6.46,9.61,70.98,38.84,66.08,67.77,2976720.0,4.31,Rendah,Tinggi,Rendah
PAPUA BARAT,2023,98.41,20.49,10.14,67.47,38.84,58.55,67.24,3282000.0,5.38,Tinggi,Rendah,Tinggi
PAPUA,2023,83.61,26.03,7.34,63.01,38.84,84.43,77.2,3864696.0,2.67,Rendah,Rendah,Rendah
